sự ăn cắp,sự ăn cướp,sự ăn trộm,sự trộm cắp,sự cướp bóc,sự tước đoạt,sự cưỡng đoạt,sự chiếm đoạt,hành động cướp bóc
giấc ngủ chập chờn,giấc ngủ mơ màng,giấc ngủ lơ mơ
cú đánh trúng,cú đánh thành công
sự sát hại,vụ sát hại
kịch hoá,sự kịch hoá
mạ thiếc,tráng thiếc
quay,xoay,rẽ,ngoặt,vòng
sự khen thưởng,sự tưởng thưởng,thưởng,khen thưởng
công bố,ban bố,sự công bố,sự ban bố
nôn,mửa,ói,nôn mửa,nôn oẹ
trò múa rối,nghệ thuật múa rối
buổi diễn tập,buổi tập dượt,buổi diễn thử
sự nói xấu,sự phỉ báng,sự vu khống,sự bôi nhọ,lời nói xấu,lời vu khống
thuật huyền bí,phép thuật huyền bí
đi lại,việc đi lại
sự bỏ dở,sự bỏ cuộc
bạt tai,tát,tát tai
phương thức,cách,cách thức,biện pháp
sự bắn,phát súng,xạ kích,sự phóng đi
chuyển,chuyển đi
bè phái,bè cánh,bè đảng,chia bè cánh,chia bè phái,chia bè đảng
cú đánh một chốt,cú đánh chiếm gôn thứ nhất
ném,tung,quăng,liệng,phi,vứt
bò,sự bò
vuốt ve,mơn trớn,âu yếm,sự vuốt ve,sự mơn trớn,sự âu yếm,cử chỉ vuốt ve,cử chỉ âu yếm,cử chỉ mơn trớn
đo lường tâm thần,trắc lượng tâm lí
sự cầm đầu,sự lãnh đạo,sự dẫn dắt,sự chỉ huy,sự đứng đầu
xoay,quay,sự quay,sự xoay,sự quay vòng,sự quay vòng
thành công,sự thành công
sự trả góp,sự trả dần,sự trả dần món nợ
sự giao nhau,sự cắt nhau
tẩy chay,bài xích,sự tẩy chay,sự bài xích
giáo dục tiểu học,giáo dục sơ cấp,giáo dục cơ bản,giáo dục sơ đẳng
tổ chức,cơ quan
sự trợ cấp,sự cứu tế,sự cứu trợ,sự cứu giúp
sự tương đồng,sự tương tự,tính tương đồng,tính tương tự
ứng dụng,sự ứng dụng,áp dụng,sự áp dụng,việc ứng dụng,việc áp dụng
làm tình,quan hệ,ân ai,ái ân,sinh hoạt tình dục,quan hệ tình dục
chối,từ chối,chối từ,khước từ,chối bỏ,bác bỏ
thở,thở ra
chọn,lựa,lựa chọn,chọn lựa,chọn lọc,tuyển chọn
ấn,nhấn,kẹt,ấn xuống,nhấn xuống,nén xuống,kẹt xuống
sự trở về,sự quay về,sự trở lại,sự quay lại,sự quay trở lại,sự quay trở về
sự kết hợp,sự hợp nhất
ngăn cản,cản ngăn,ngăn trở,sự ngăn cản,sự cản ngăn,sự ngăn trở
sự khơi dậy,sự khơi nguồn
luộc,nấu
việc kiện,việc kiện cáo,việc kiện tụng
lòng tốt,sự nhân ái,sự nhân hậu,sự nhân từ,sự tốt bụng
lễ thụ phong,lễ tấn phong,lễ thụ chức
quản lí chất lượng,quản lý chất lượng,kiểm soát chất lượng
gập,uốn gập
sứ mệnh,sứ mạng,nhiệm vụ,phi vụ,sứ vụ
trốn,lẩn trốn,lẩn tránh
nhóm họp,họp hành,hội họp,tụ tập,tụ hội,tụ tập
tiêu,chi,chi tiêu,tiêu pha,tiêu tiền,chi phí
đối đầu,đối địch,đương đầu,sự đối đầu,sự đối địch,sự đương đầu
thành quả,việc,việc thực hiện
gia cố,củng cố,tăng cường
làm bị thương,làm bị đau,làm tổn thương,làm chấn thương
sự thay đổi toàn bộ,sự thay đổi hoàn toàn,việc thay đổi toàn bộ,việc thay đổi hoàn toàn
giữ,giữ lại,bảo lưu
sự thống trị,địa vị thống trị
sự phản đối,sự kháng nghị,sự bác bỏ
đồ hoạ in khắc,đồ hoạ in ấn,in ấn
uỷ nhiệm,uỷ thác,giao phó,uỷ thác,sự uỷ nhiệm,sự uỷ thác
sải,nhịp,sải bơi,nhịp chèo
mô phỏng,hình ảnh,bức tranh,sự mô phỏng
sự tránh,sự lảng tránh,sự trốn tránh,sự lẩn tránh,sự lẩn trốn,sự thoái thác,sự né tránh
sự làm sứt,sự làm mẻ,sự làm sứt mẻ
biến dị,bất bình thường,hành động khác thường,động thái khác thường
kí hoạ,vẽ vời,việc vẽ vời,việc kí hoạ
sản xuất,sản sinh,chế tạo,sáng tác,sáng tạo,sự sản sinh,sự sản xuất,sự chế tạo,sự sáng tác,sự sáng tạo
sự quay,sự quay phim
sự làm mới lại,sự đổi mới,sự cải tiến,sự sửa chữa lại
tẩy,rửa,gột,lau,dọn,tẩy rửa,gột rửa,làm sạch,lau dọn
việc ăn hại,việc phá hại,việc hỏng ăn
thở dốc,thở hổn hển
vinh dự,vẻ vang
nâng chân vuông góc,ép chân vuông góc,kip,động tác kip
sự pha trộn,sự trộn lẫn
sưu tập,sưu tầm,góp nhặt,thu gom,thu thập,tập hợp,sự sưu tập,sự sưu tầm,sự góp nhặt,sự thu gom,sự thu thập,sự tập hợp
đóng gói,đóng hộp
chặng,đoạn,chặng đường,lộ trình
sự nổ súng,sự bắn súng
sự làm vỡ,sự làm gãy,sự làm toạc,sự làm đứt
sửa,sửa chữa,cải chính,đính chính,hiệu chỉnh,sự sửa,sự sửa chữa,sự cải chính,sự đính chính,sự hiệu chỉnh
tấn công,tiến công,công kích,đột kích,phản kích,tập kích
phán quyết,quyết định của toà
chạy,vận hành,khởi động,điều khiển
đấm,chọc,huých,hích,thọc,thúc
xâm lược,công kích,sự xâm lược,sự công kích,sự gây sự,sự gây hấn
sự do thám,sự trinh sát,sự thám thính,sự dò xét
lắp ghép,lồng ghép
vấp,gặp,mắc,vấp phải,gặp phải,mắc phải,rơi vào
tiên lượng,dự đoán
bất ngờ,ngạc nhiên
thoát li,thoát ly,khuynh hướng thoát li,khuynh hướng thoát ly
sự trượt,sự đánh trượt
sự phù hợp,sự thích hợp,sự tương thích
đuổi,trục xuất
tấn công,xâm phạm
tách cổ phiếu,chia cổ phiếu,chia tách cổ phiếu,tách chia cổ phiếu
thị sát,tuần tra,đến khám,khám xét
săn bắt,săn bắn,đi săn
hôn ước,hứa hôn,lời hứa hôn,sự hứa hôn
trốn nợ,bùng nợ
open frame,ném mở
khoan hồng,sự khoan hồng,khoan dung,vị tha,bao dung
để,đặt
sự cố gắng,sự phấn đấu,sự nỗ lực,sự ra sức,sự ráng sức,sự hết sức,sự tận lực,sự hết sức hết lòng,sự tận tâm tận lực
sự tạm nghỉ,sự tạm ngừng,sự tạm ngưng
tung hứng,trò tung hứng
tổng thống Hoa Kì,tổng thống Hoa Kỳ,tổng thống Mĩ,tổng thống Mỹ
trợ cấp,tiền trợ cấp
chuyển hàng,giao hàng,phát hàng,chuyển phát hàng,giao phát hàng
giải ngũ,phục viên
gấp lên,gập lên,vén lên,xắn lên
sự khuất dạng,sự mờ dần,sự biến mất
viết,viết văn,viết bài,viết sách,sáng tác
khoan dầu mỏ,sự khoan dầu mỏ,sự khai thác dầu mỏ,sự khoan
trừ,khấu trừ,trừ bớt,giảm thiểu
đỗ đạt,thi đỗ,thi đậu
sự liếm,cái liếm,cú liếm
sự phong chức,sự trao quyền,sự giao quyền
chuyển phát nhanh,giao hàng nhanh,vận tải tốc hành,chuyển phát tốc hành,chuyển phát hoả tốc,chuyển hàng hoả tốc,vận tải hoả tốc,express
thế ôm đấu vật,thế ôm đô vật
cuộc thác loạn,cuộc truy hoan
điều tệ nhất,điều tồi nhất,điều xấu nhất,điều tồi tệ nhất
gian,dối,gian dối,dối trá
chọc thủng tuyến phòng thủ,phá vỡ tuyến phòng thủ
thủ công,lao động chân tay,lao động tay chân
báo thức,chuông báo thức,kẻng báo thức,còi báo thức
mở rộng,cơi nới,sự mở rộng,sự cơi nới
thủ môn,thủ thành
việc định vị,phát hiện,phát hiện vị trí
cái vặn,cái xoay
mở rộng,phát triển,gia tăng,sự mở rộng,sự phát triển,sự gia tăng
không hoàn thành,không đạt được
sự kháng cáo,sự kháng án
chở,đèo,đưa,mang,vác đi,đưa đi,mang đi,khuân đi,bê đi,chở đi,đèo đi,vận tải,vận chuyển
tập chân,tập cơ chân,tập thể dục chân
bóng ném tường,fives
sự không điều độ,sự quá độ
tụ họp,hội nghị,sự triệu tập
thu hoạch,sự gặt hái
chiến tranh,cạnh tranh,đấu tranh,giao chiến,giao tranh,tranh giành,xung đột
Thập Tự chinh,cuộc Thập Tự chinh,Thập tự chinh,cuộc Thập tự chinh
sự thao diễn,sự diễn tập,sự thao tập
hậu vệ,vị trí hậu vệ,hậu vệ bóng bầu dục,vị trí hậu vệ bóng bầu dục
sự làm nhờn,sự làm liệt,sự vô hiệu hoá,sự làm tê liệt,sự làm tê cứng,sự làm mất hoạt tính,sự làm mất hoạt lực
sự lắp đặt,sự cài đặt,việc lắp đặt,việc cài đặt
chủ trương,ý định
ấn,nhấn,đè,nén,gí
kiểm tra cỡ trước khi chia độ,sự kiểm tra cỡ trước khi chia độ
đạt tới,tiến tới,tiến đến
hiện vật,vật trưng bày,vật triển lãm,hiện vật trưng bày
cuộc điều tra,cuộc truy lùng,cuộc tìm kiếm,cuộc truy tìm
tiến bộ,sự tiến bộ,tiến triển,sự tiến triển
nhảy nhót,nảy bật,nẩy bật,sự nảy lên,sự nẩy lên,sự bật lên
buộc,gắn,trói,cột,đính,trói buộc
ngược đãi,bạc đãi,hành hạ,bạo hành,sự ngược đãi,sự bạc đãi,sự hành hạ,sự bạo hành
việt vị,lỗi việt vị,lỗi vị trí
làm bẩn,vấy bẩn,làm ô uế,làm hoen ố,làm nhơ bẩn,làm nhơ
việc riêng,chuyện riêng,việc riêng tư,chuyện riêng tư,việc cá nhân,chuyện cá nhân
sự ngọ nguậy,sự ngó ngoáy,sự ngọ ngoạy
sự nhượng bộ,sự đầu hàng,sự chuyển nhượng
điều hành,điều phối,điều khiển,chỉ đạo,chi phối
đi chợ,chợ búa,mua bán,mua sắm,sắm sửa,việc mua sắm,việc đi chợ,việc mua bán,việc sắm sửa
cải biên,cải soạn
giới hạn,hạn chế,hạn định,khống chế,áp chế,chế ngự
kéo,sự kéo,dắt,sự dắt
sự tống,sự đuổi,sự xua,sự tống khứ,sự xua đuổi,sự trục xuất,sự đẩy đi,sự tống ra
tự phục vụ,sự tự phục vụ,chế độ tự phục vụ
săn bắn,cuộc săn bắn,trò săn bắn,môn săn bắn
trêu,chọc,ghẹo,chòng,chòng ghẹo,chọc nghẹo,trêu chọc,châm chọc,trêu chòng,châm chích
chuyền,pha chuyền,cú chuyền,quả chuyền
sự thay đổi thuộc tính,sự biến đổi thuộc tính
ảo thuật,trò ảo thuật,trờ diễn ảo thuật,trình diễn ảo thuật,biểu diễn ảo thuật,làm ảo thuật
sự hành hình,sự tử hình,sự hành quyết,sự thi hành án tử
sự lập danh sách,sự lên danh sách
vị trí trung phong,trung phong,vị trí cầu thủ trung phong
băng,băng bó
thăm hỏi,hỏi thăm,đi thăm,tới thăm
chia phần,sự chia phần
điệu swing,điệu nhảy swing
phung phí,lãng phí,hoang phí,phao phí,phí phạm,phung phá,vung phí
sự chuẩn bị,sự sửa soạn,sự dự bị
sự cắt,sự xén,sự cắt xén
sự châm lại,sự giảm tốc,sự làm chậm lại
cuộc đi dạo,cuộc dạo chơi,cuốc đi dạo,cuốc bách bộ,cuốc dạo chơi
xì tố,xì pé,phỏm,stud,stud poker
quay tít,xoay tít
lối chơi bóng rổ,cách chơi bóng rổ
cờ bạc,đánh bạc
kết thúc,hoàn thành
phóng tên lửa,phóng hoả tiễn
sự bơm hơi,việc bơm hơi,sự bơm phồng,việc bơm phồng
cú đánh an toàn,cú đánh bóng an toàn
dời đi,sự dời đi,di dời,sự di dời,di chuyển,sự di chuyển
đánh răng,việc đánh răng,sự đánh răng
lối thoát,cách trốn thoát
biên lai,giấy biên nhận
ảnh hưởng,tác dụng
sự biến hình,sự biến dạng,sự biến hóa
gây hư hỏng,làm hỏng,phá hỏng
sự giả vờ,sự giả đò,sự giả bộ
chứng thực,chứng minh,xác nhận,kiểm nghiệm
sự phục kích,sự mai phục
thăm hỏi,viếng thăm,thăm viếng
khoá,khoá học,khoá đào tạo
bắn trúng tâm,bắn trúng điểm đen,bắn trúng hồng tâm,bắn trúng tâm bia,sự bắn trúng điểm đen,sự bắn trúng hồng tâm,sự bắn trúng tâm điểm,sự bắng trúng tâm bia,sự bắn trúng tâm
cú đấm,quả đấm
lựa chọn,chọn lựa,sự lựa chọn,sự chọn lựa,việc lựa chọn,việc chọn lựa
trò hề,trò cười
khoản trích,phần trích ra,khoản được trích ra,phần được trích ra
bóc lột,cướp bóc,cướp phá,tước đoạt
bạo hành,bạo ngược,hung ác,tàn bạo,tàn khốc,tàn nhẫn,vô nhân đạo,vô nhân tính,hành động bạo ngược,hành động tàn bạo,hành động vô nhân đạo,hành động vô nhân tính
trò khỉ,trò hề,trò nỡm
sự phân chia,sự phân tách
lối chơi,cách chơi
bóng ném Mĩ,môn bóng ném Mĩ
sao chép,sao lại
sự biến đổi,sự chuyển đổi,sự biến hình
cú đấm,quả đấm
sự thăng chức,sự thăng cấp,thăng chức,thăng cấp
nhóm,nhóm lại
nghi lễ tôn giáo,nghi thức tôn giáo
lễ hội,cuộc vui
chăm sóc y tế,sự chăm sóc y tế
việc xét xử,việc sự án
khôi phục,phục hưng,hồi sinh
Chiến tranh Thế giới I,Đại chiến Thế giới I,Thế chiến I
ân xá,đại xá,đặc xá
thông lệ,thói quen,lệ thường
sự buôn bán,thương mại,thương nghiệp,buôn bán
kết thúc,sự kết thúc,chấm dứt,sự chấm dứt
‘netball’,‘môn netball’,‘bóng lưới’,‘môn bóng lưới’
nụ hôn say đắm,nụ hôn mãnh liệt,nụ hôn nồng cháy,nụ hôn thắm thiết
suồng sã,sỗ sàng
bơi ngắn,bơi cự li ngắn
việc khơi dậy,việc gợi lên,việc khích lệ
trò đánh bài whist,trò chơi bài whist
quyên,quyên góp
sự khôi phục,sự phục hưng,sự hồi sinh,sự sống lại
sự lập chương trình,sự lên chương trình
sai sót,lỗi vụn vặt
sự hồi phục,sự khôi phục,sự phục hồi
trao đổi,đổi chác,đổi hàng,đổi
sự thích nghi,sự thích ứng
sự bôi nhọ,sự bôi xấu
khó khăn,trở ngại
khiếm nhã,bất lịch sự,vô lễ,xúc phạm
hoàn tiền,trả lại
ý định,ý đồ,dự định
phát ra,toả ra,bốc ra,phát xạ
nhảy,lò cò,nhảy lò cò
nghệ thuật nhiếp ảnh,thuật nhiếp ảnh,nghệ thuật chụp ảnh,thuật chụp ảnh
đánh lộn,đánh nhau,hỗn chiến,ẩu đả,cuộc đánh lộn,trận đánh nhau,cuộc hỗn chiến,cuộc ẩu đả,trận hỗn chiến,trận ẩu đả
hành vi tội lỗi,hành vi sai trái,hành vi bất chính
công kích,đả kích,sự công kích,sự đả kích
thành công ngoài mong đợi,thành công bất ngờ,thành công không ngờ
sự cọ,sự vò,sự kì cọ
viễn chinh,cuộc viễn chinh,chuyến viễn chinh
chiến tranh,cuộc chiến,cuộc chiến tranh
nghỉ ngơi,thư giãn,giải lao
hành vi vô trách nhiệm,hành vi tuỳ tiện,hành vi lệch lạc
đi lang thang,đi tha thẩn
phủ thiếc,bọc thiếc,mạ thiếc
thủ thuật đẩy thoát vị,thuật đẩy thoát vị
cú đấm,cú thụi,phát thụi
điệu bộ,dáng dấp,dáng vẻ,tư thế
nhiệm vụ,trách nhiệm
phần thưởng,sự khen thưởng
lượt,phiên,lần
phát minh,sáng tạo
sự minh oan,sự giải tội
hiện diện,góp mặt,xuất hiện
phân tích,mổ xẻ
kí tên,sự kí tên,ký tên,sự ký tên
phức tạp hoá,sự phức tạp hoá,sự phức tạp,sự rắc rối
lao theo hình xoắn ốc,sự lao theo hình xoắn ốc,bay theo hình xoắn ốc,sự bay theo hình xoắn ốc
công việc,việc làm
lao động nghệ thuật,sáng tạo nghệ thuật
lập,tạo,làm,tạo lập,đặt,nghĩ,sáng chế,phát minh,lập ra,tạo ra,làm ra,tạo lập ra,đặt ra,nghĩ ra,sáng chế ra,phát minh ra
gặp gỡ tình cờ,gặp gỡ bất ngờ,cuộc gặp tình cờ,cuộc gặp bất ngờ
liên minh,sự liên minh,tạo đồng minh,việc tạo đồng minh
sự kiểm tra,sự thẩm tra
rề rà,lần lữa,diên trì,lâu la,câu giờ,tốn thì giờ,sự rề rà,sự lần lữa,sự lâu la,sự câu giờ,sự tốn thì giờ
sắp lại,xếp lại,sắp xếp lại,sắp đặt lại,xếp đặt lại
tăng giá,sự tăng giá
việc thông khí,sự thông khí,việc thông hơi,sự thông hơi
sự leo trèo,sự leo,sự trèo
tổ chức,sự tổ chức,việc tổ chức
thính chẩn,nghe bệnh,sự nghe bệnh
ngáy,kéo gỗ,việc ngáy
việc làm ăn phi pháp,việc làm ăn bất hợp pháp,việc làm ăn gian dối
thể dục,tập thể dục,luyện tập thể dục
lái,điều khiển,việc lái,việc điều khiển,sự điều khiển
bán,được bán
bước,điệu,động tác
làm thoả,làm đã,làm thoả lòng,làm thoả nguyện,làm mãn nguyện,làm toại nguyện,làm vừa lòng,làm hài lòng,làm vừa ý
cuộc họp,cuộc hội họp,cuộc gặp,cuộc gặp gỡ,sự gặp mặt,sự gặp gỡ
sự lăn,sự quay
sơ tuyển,bầu cử sơ bộ,cuộc sơ tuyển,cuộc bầu cử sơ bộ
sóng,làn sóng
làm rỗng,làm trống,moi rỗng,xoá sạch,trút sạch
thoả mãn,buông thả
sự tống đạt,sự gửi
vượt,vượt lên,vượt lên trên,vượt lên trước
gặm,gậm gặm cỏ,gậm cỏ,ăn cỏ,sự gặm cỏ,sự ăn cỏ
vi phạm,sự vi phạm
nhạo báng,chế nhạo,cười cợt,chế giễu,sự nhạo báng,sự chế nhạo,sự cười cợt,sự chế giễu
trừ,phép trừ
old maid,bài old maid
sự nổ súng,việc nổ súng,sự khai hoả,việc khai hoả,sự bắn súng,việc bắn súng
đòn đánh trả,đòn phản công,cú trả đũa,cú phản công,miếng đánh trả lại
xô đẩy,sự xô đẩy,chen lấn,sự chen lấn
biểu diễn nhào lộn,nhào lộn,nhào lộn nguy hiểm
